distance mm,fsr reading,time ms
21.2216034656,0.0,9739
nan,0.0,9825
21.2216034656,0.0,9992
nan,0.0,10078
21.2216034656,0.0,10245
nan,0.0,10331
23.092460002400003,0.0,10498
nan,0.0,10584
22.157031734,0.0,10751
nan,0.0,10837
20.286175197200002,0.0,11004
nan,0.0,11090
21.2216034656,0.0,11257
nan,41.61376545272302,11343
20.286175197200002,46.759104577347145,11510
nan,129.73805855161785,11596
21.2216034656,91.52479644707623,11763
nan,75.42561065877128,11849
20.286175197200002,86.19541080680976,12016
nan,79.97779422649887,12102
21.2216034656,44.988306047444034,12269
nan,47.12662880053458,12355
21.2216034656,48.69695957233545,12522
nan,55.44041450777202,12608
20.286175197200002,49.63247577681256,12775
nan,51.776461880088824,12861
21.2216034656,54.44115470022206,13028
nan,56.99481865284974,13114
22.157031734,62.32420429311621,13281
nan,68.43079200592153,13367
21.2216034656,58.66025166543301,13534
nan,58.66025166543301,13620
22.157031734,64.10066617320503,13787
nan,73.53811991117689,13873
22.157031734,73.42709104367134,14040
nan,75.98075499629903,14126
23.092460002400003,77.8682457438934,14293
nan,65.7660991857883,14379
22.157031734,54.330125832716504,14546
nan,38.489809555629805,14632
22.157031734,35.29903107250251,14799
nan,35.5496157701303,14885
21.2216034656,36.1343133979285,15052
nan,45.506181089208155,15138
22.157031734,48.613431339792854,15305
nan,48.89742733043769,15391
22.157031734,49.214834614099566,15558
nan,42.6829268292683,15644
22.157031734,0.0,15811
nan,0.0,15897
22.157031734,0.0,16064
nan,31.573671901102575,16150
22.157031734,39.55897093217508,16317
nan,41.64717674574006,16403
23.092460002400003,35.449381891079184,16570
nan,11.12596057467424,16656
23.092460002400003,9.538924156364851,16823
nan,40.87871700634815,16909
23.092460002400003,40.010023387905115,17076
nan,31.757434012696294,17162
23.092460002400003,0.0,17329
nan,36.936184430337455,17415
24.027888270800002,38.12228533244237,17582
nan,29.986635482793186,17668
24.027888270800002,30.78850651520214,17835
nan,35.766789174741064,17921
24.027888270800002,38.9909789508854,18088
nan,36.8025392582693,18174
24.027888270800002,35.64984964918143,18341
nan,37.68793852322085,18427
